HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2460240.49218,2023-10-22.9947903,bE,2.08,15.663,14.520,0.076,5.651,0.396,g
2460243.57352,2023-10-26.0763760,bq,1.44,16.065,14.535,0.054,5.572,0.273,g
2460243.57475,2023-10-26.0776013,bq,1.51,16.104,14.519,0.051,5.658,0.263,g
2460243.57596,2023-10-26.0788105,bq,1.48,16.118,14.601,0.054,5.246,0.260,g
2460250.55080,2023-11-02.0541521,bq,2.19,16.590,14.555,0.034,5.468,0.168,g
2460250.55202,2023-11-02.0553704,bq,2.15,16.804,14.632,0.030,5.095,0.138,g
2460250.55325,2023-11-02.0566006,bq,2.17,16.667,14.553,0.031,5.481,0.157,g
2460253.54658,2023-11-05.0501315,bq,1.43,16.328,14.581,0.044,5.342,0.214,g
2460253.54781,2023-11-05.0513620,bq,1.46,16.507,14.604,0.038,5.228,0.182,g
2460253.54904,2023-11-05.0525899,bq,1.51,16.415,14.652,0.043,5.004,0.198,g
2460257.53351,2023-11-09.0373064,bq,2.24,99.990,99.990,99.990,99.990,99.990,g
2460257.53472,2023-11-09.0385216,bq,2.35,99.990,99.990,99.990,99.990,99.990,g
2460257.53595,2023-11-09.0397528,bq,2.50,99.990,99.990,99.990,99.990,99.990,g
2460338.01664,2024-01-28.5206565,bq,1.54,15.908,14.511,0.062,5.694,0.320,g
2460338.01785,2024-01-28.5218716,bq,1.55,15.882,14.564,0.066,5.429,0.328,g
2460338.01907,2024-01-28.5230916,bq,1.51,15.832,14.532,0.067,5.589,0.343,g
2460358.12317,2024-02-17.6258209,bA,2.14,16.888,14.634,0.027,5.090,0.129,g
2460358.12441,2024-02-17.6270534,bA,2.16,16.834,14.653,0.029,5.003,0.135,g
2460358.12565,2024-02-17.6283012,bA,2.17,16.885,14.638,0.028,5.068,0.129,g
2460360.13332,2024-02-19.6358085,bA,2.12,16.927,14.609,0.026,5.205,0.124,g
2460360.13457,2024-02-19.6370609,bA,2.08,16.919,14.619,0.026,5.158,0.125,g
2460360.13581,2024-02-19.6382982,bA,2.06,16.906,14.637,0.027,5.073,0.126,g
2460362.09139,2024-02-21.5937229,bA,2.04,15.935,14.621,0.065,5.149,0.307,g
2460362.09264,2024-02-21.5949732,bA,2.03,16.044,14.658,0.061,4.974,0.278,g
2460362.09389,2024-02-21.5962232,bA,2.04,15.989,14.665,0.065,4.944,0.293,g
2460362.88369,2024-02-22.3859655,bi,1.46,16.478,14.673,0.041,4.905,0.187,g
2460362.88492,2024-02-22.3871908,bi,1.44,16.510,14.622,0.038,5.141,0.182,g
2460362.88616,2024-02-22.3884314,bi,1.48,16.478,14.617,0.039,5.165,0.187,g
2460363.63877,2024-02-23.1409829,bm,1.47,15.787,14.637,0.076,5.076,0.353,g
2460363.64000,2024-02-23.1422086,bm,1.99,15.502,14.546,0.091,5.518,0.458,g
2460363.64123,2024-02-23.1434378,bm,2.12,15.065,14.823,0.175,4.275,0.684,g
2460364.63047,2024-02-24.1325968,bm,2.01,15.771,15.108,0.119,3.288,0.357,g
2460364.63170,2024-02-24.1338234,bm,1.98,15.666,14.543,0.078,5.532,0.394,g
